VESSEL_ID,Trip_ID,OBSET_ID,Total_Hooks_Set,Hooks_Observed,BSL,Birds_Obs_Caught,Season,Hooks_Recovered,Year,Regulation
Joao N Castro,FAO17,Nicky Kwedhi_17_1,22500,,Yes,0,Summer,2240,2018,AFTER
Joao N Castro,FAO17,Nicky Kwedhi_17_1,18000,,Yes,0,Summer,17910,2018,AFTER
Joao N Castro,FAO17,Nicky Kwedhi_17_1,9000,,Yes,0,Summer,8960,2018,AFTER
Blomeha,FAO18,V.S  Aupindi_18_1,15300,,Yes,0,Summer,15190,2018,AFTER
Blomeha,FAO18,V.S  Aupindi_18_1,15302,,Yes,0,Summer,15105,2018,AFTER
Blomeha,FAO18,V.S  Aupindi_18_1,15302,,Yes,0,Summer,15115,2018,AFTER
Blomeha,FAO18,V.S  Aupindi_18_1,15309,,Yes,0,Summer,15155,2018,AFTER
Blomeha,FAO18,V.S  Aupindi_18_1,9900,,Yes,0,Summer,9705,2018,AFTER
Blomeha,FAO18,I Kandjengo_18_1,15370,,Yes,0,Summer,15350,2018,AFTER
Blomeha,FAO18,I Kandjengo_18_1,15300,,Yes,0,Summer,15205,2018,AFTER
Blomeha,FAO18,I Kandjengo_18_1,15300,,Yes,0,Summer,15102,2018,AFTER
Blomeha,FAO18,I Kandjengo_18_1,15300,,Yes,0,Summer,15050,2018,AFTER
Blomeha,FAO18,I Kandjengo_18_1,6300,,Yes,0,Summer,6100,2018,AFTER
Carolina Castro,FAO19,David A_19_1,16200,,Yes,0,Summer,16000,2018,AFTER
Carolina Castro,FAO19,David A_19_1,16200,,Yes,0,Summer,16000,2018,AFTER
Carolina Castro,FAO19,David A_19_1,16200,,Yes,0,Summer,16000,2018,AFTER
Carolina Castro,FAO19,David A_19_1,16200,,Yes,0,Summer,16000,2018,AFTER
Carolina Castro,FAO19,David A_19_1,16200,,Yes,0,Summer,16000,2018,AFTER
Carolina Castro,FAO19,David A_19_1,5400,,Yes,0,Summer,5300,2018,AFTER
Carolina Castro,FAO20,Tiofelus Hinamunhu_20_1,15000,,Yes,0,Summer,14900,2018,AFTER
Carolina Castro,FAO20,Tiofelus Hinamunhu_20_1,18000,,Yes,0,Summer,17900,2018,AFTER
Carolina Castro,FAO20,Tiofelus Hinamunhu_20_1,18500,,Yes,3,Summer,18400,2018,AFTER
Carolina Castro,FAO20,Tiofelus Hinamunhu_20_1,18000,,Yes,2,Summer,17900,2018,AFTER
Carolina Castro,FAO20,Tiofelus Hinamunhu_20_1,18000,,Yes,4,Summer,17900,2018,AFTER
